District,Total Number of Monitored Stations,Observed Range of Water Level,Year,MeanDepth
BANKURA,32,1.2 - 18.18,1996,9.69
BIRBHUM,36,0.47 - 7.36,1996,3.915
COOCH BEHAR,12,1.85 - 3.53,1996,2.69
DARJILING,5,2 - 5.26,1996,3.63
East Medinipur,6,1.08 - 7.47,1996,4.275
HOWRAH,9,0.55 - 7.83,1996,4.19
HUGLI,17,1.02 - 7,1996,4.01
JALPAIGURI,23,1.31 - 13.35,1996,7.33
JHARGRAM,5,3.67 - 8.01,1996,5.84
MALDAH,9,1.38 - 4.41,1996,2.895
MURSHIDABAD,12,0.88 - 12.95,1996,6.915
NADIA,23,0.46 - 5.07,1996,2.765
NORTH 24 PARGANAS,13,1.09 - 4.84,1996,2.965
NORTH DINAJPUR,6,1.8 - 3.9,1996,2.85
PASCHIM BARDHAMAN,13,1.1 - 5.83,1996,3.465
PURBA BARDHAMAN,14,1.5 - 13.88,1996,7.69
PURULIYA,30,1.31 - 6.17,1996,3.74
SOUTH 24 PARGANAS,14,1.15 - 5.67,1996,3.41
West Medinipur,15,1.1 - 7.85,1996,4.475
BANKURA,30,1.1 - 17.55,1997,9.325000000000001
BIRBHUM,35,0.61 - 8.65,1997,4.63
COOCH BEHAR,13,2.04 - 4.17,1997,3.105
DARJILING,4,2.2 - 5.75,1997,3.975
East Medinipur,6,1.5 - 8.02,1997,4.76
HOWRAH,11,0.9 - 9.02,1997,4.96
HUGLI,17,0.75 - 7.33,1997,4.04
JALPAIGURI,23,1.37 - 13.62,1997,7.494999999999999
JHARGRAM,5,4.1 - 6.41,1997,5.255
MALDAH,7,1.5 - 5.05,1997,3.275
MURSHIDABAD,11,1.49 - 13.95,1997,7.72
NADIA,23,1.37 - 5.66,1997,3.515
NORTH 24 PARGANAS,12,1.85 - 4.75,1997,3.3
NORTH DINAJPUR,5,1.6 - 3.69,1997,2.645
PASCHIM BARDHAMAN,12,0.3 - 6,1997,3.15
PURBA BARDHAMAN,14,1.78 - 9.95,1997,5.864999999999999
PURULIYA,31,1.62 - 7.64,1997,4.63
SOUTH 24 PARGANAS,15,0.27 - 5.75,1997,3.01
West Medinipur,15,0.85 - 12.62,1997,6.734999999999999
BANKURA,32,0.92 - 10.2,1998,5.56
BIRBHUM,37,0.86 - 9.74,1998,5.3
COOCH BEHAR,12,1.01 - 2.84,1998,1.9249999999999998
DARJILING,5,1.05 - 4.75,1998,2.9
East Medinipur,7,1.98 - 9.21,1998,5.595000000000001
HOWRAH,12,0.17 - 8.45,1998,4.31
HUGLI,18,0.43 - 8.23,1998,4.33
JALPAIGURI,21,0.78 - 11.1,1998,5.9399999999999995
JHARGRAM,5,1.43 - 4.54,1998,2.985
MALDAH,7,1.29 - 2.91,1998,2.1
MURSHIDABAD,11,0.8 - 12.83,1998,6.815
NADIA,19,0.37 - 4.13,1998,2.25
